hashtag,tweet,hashtags
dhoni,"WATCH: MS Dhoni gives Deepak Chahar a playful bat treatment after CSK’s win, video goes viral
#Dhoni 
#DeepakChahar 
kalingatv.com/sports/watch-m…",
dhoni,"WTS IPL TICKETS 
✅3 vip tickets
 rcb vs Punjab 
dm me for more info unlimited buffet and drinks
MI #SRH #KKR #LSG #GT #PK #RR #RCB #MSD #AstroPrediction #TarotReading #MatchPredictions #T20 #IPL #tarotcard #CSKvsMI #RuturajGaikwad Vs #SuryakumarYadav #MSD #Chepauk #Dhoni",
dhoni,"The entry we all waited for with iconic song 

M S Dhoni Entry today 

🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

#CSKvsMI | #CSKvMI | #Dhoni",
dhoni,"CSK vs RCB (March -28)
Venue: M.A. Chidambaram Stadium, Chennai.

8 tickets available !! 💯❤️💥
D upper-2
K Upper-2
J lower-2
C upper-2
Mobile:9789354948 
#IPL2025 #ipltickets2025 #ipltickets #CSKvsRCB #ChennaiSuperKings #Dhoni #ChepaukStadium #cskvsrcbtickets",
dhoni,"Shreyas iyer u beauty..selfless cricketer   @Lfgdoteco $LFG
#ShreyasIyer
#AshutoshSharma   #Dhoni #Pooran
#MSD $BOI @Boithebear #IPL2025 #IPL #ipl2025openingceremony #CSKvsMI #ipltickets #IPLUpdate #IPLonJioStar #IPLUpdate #IPL18
#dhonistumping #MSD #IPLUpdate #TATAIPL2025",
dhoni,"I have 2 I lower stand tickets for csk vs RCB game...if anyone is interested can DM #csk #cskvsrcb #cskvrcb #chennai 
#ipl #ipl2025 #ipltickets #rcb
#csktickets #cskticket #chepauk
#chennaiipl #chennaisuperkings #dhoni",
dhoni,"#Dhoni #CSK #IPL

Contributing to another “Go to kitchen” trend just because a female passed a stupid comments over an IPL match ??? Vandudrathu coffee cup ah thookitu women nu 😒😒😒

Seri Dhoni thavira edhuvum theriyala. Enna panlam ipo ??? Edachum crime list la sethrukangala?? 

Kutham soldra athana perum Sport analyst ah ??? Illa neenga matum than cricket paakanum nu aadhar card kooda extra oru card vechrukeengala ??? Inga iruka paathi aalungale SRH HRS ah than. But then Cricket is an entertainment and it is for EVERYONE. I guess no one is offering a degree to WATCH or ENJOY a sport or a movie.

Few come for the experience, the hype we created over internet for the MAN DHONI. Adicha Ticket scam ah adikanum. Black la vikuravana adikanum. Dm me for 2tickets ah adikanum. Pora vara audience and avangaloda ignorance ah abuse ku use panirkrathu ??

Yarachum oru kid romba analyse panni pesina wormfire kuzhandhai nu  adikrathu, theriyama ignorant ah pesita tharkuri nu soldrathu. 

Inimel irukra mattamana Csk site or district app la, “Eligibility to watch cricket test” veika soliralam. Vandudrathu idhu than neram nu kanda karumatha thookitu. Porakum bothe stats lam padichutu porandha maathri 😒😒😒

Sonalum sollala nalum, there are people who comes to the stadium only to visit DHONI. And they are harmless. They went home with happy memories.

Andha aalu pona aprom, all cricket lovers santhosama CSK ah va katitu vaazhunga. Scam panra franchise vechukitu, fans mela vanmatha koturathu lam naan evlo periya intellectual, cricket therinjavan nu kaatikrathuku. 

Avlo sirapa pesa theriyum na, pora vazhi ellam mic than vechrupanga vaangi pesunga.

Ellam therinja knowledgeable crowd venum na please vera planet la permission ketu irundhukonga. Because ungala maathri “NORMAL PEOPLE” Naanga illa 😤😤😤

Indha knowledgeable crowd, cricket lovers oda latchanam RCB vs CSK varum bothu theriyum 😒😒😒 evlo decent, evlo knowledgeable nu.",
dhoni,"#CSKvsRCB  have 10 physical tickets UPPER STANDS 
PRICE : each 10.5k

Contact: 6382118205

#cskvsrcbtickets
#ChepaukStadium #chepauktickets #ChepaukTriplicane #Thala #ViratKohli #Dhoni #ThalaDhoni #CSKvRCB",
dhoni,"Happy Birthday To A Talented , Visionary Film Director and an Actor Prakash Raj❤️
@prakashraaj 

#prakashraj #actorprakashraj #anniyan #dhoni #ghilli #happybirthday #jayatv",
dhoni,"Pov: He still encourage youngsters to finish the match 🤌🏻💛

#Dhoni #CSKvsMI",
